N.º,Afirmación,Respuesta,Justificación,Tema
141,El principio de mínima energía (Aufbau) es una consecuencia del Principio de Exclusión de Pauli.,Falso,Son reglas separadas. Aufbau define el orden de llenado por energía. Pauli define la capacidad de cada orbital.,Configuraciones Electrónicas
142,Un electrón se encuentra en un estado excitado si se halla en un orbital diferente al que le corresponde por Aufbau.,Verdadero,Un estado excitado es aquel con una energía superior al estado fundamental (configuración de mínima energía).,Configuraciones Electrónicas
143,"La configuración electrónica del elemento Cromo (Cr, Z=24) rompe la regla de Hund para alcanzar un subnivel d semilleno.",Falso,"Rompe la regla de Aufbau, no la de Hund, para alcanzar la estabilidad del subnivel $3d^5$ semilleno. La regla de Hund sí se cumple en 3d⁵.",Configuraciones Electrónicas
144,Un orbital 3d puede albergar electrones con los números cuánticos n=3 y l=3.,Falso,"Para n=3, el valor máximo de l es 2 (orbital d). l=3 no es permitido en el nivel n=3.",Números Cuánticos
145,Los lantánidos son elementos caracterizados por el llenado de los orbitales 4f.,Verdadero,"Los lantánidos llenan los orbitales 4f, y los actínidos llenan los orbitales 5f.",Propiedades Periódicas
146,La tendencia a formar aniones es una característica de los elementos con baja afinidad electrónica.,Falso,La tendencia a formar aniones es característica de elementos con alta afinidad electrónica (liberan mucha energía al ganar un electrón).,Propiedades Periódicas
147,La segunda energía de ionización de un elemento es siempre mayor que su primera energía de ionización.,Verdadero,Siempre es más difícil arrancar un segundo electrón porque la $Z_{ef}$ sobre los electrones restantes ha aumentado.,Propiedades Periódicas
148,El radio de un átomo neutro de un metal de transición es generalmente mayor que el de un metal alcalino del mismo periodo.,Falso,El radio atómico se contrae ligeramente a través de los metales de transición debido al aumento de $Z_{ef}$ con el llenado de orbitales d.,Propiedades Periódicas
149,Un isótopo de Sodio (Na) con 12 neutrones tiene un número másico (A) de 23.,Ververdero,Z del Na es 11. A = 11 (protones) + 12 (neutrones) = 23.,Isótopos y Partículas
150,El núcleo de un átomo solo se compone de protones.,Falso,El núcleo se compone de protones y neutrones.,Isótopos y Partículas
151,El número de orbitales p en cada nivel energético es siempre 3.,Verdadero,"Para cualquier n, el subnivel p (l=1) tiene 3 orbitales (px, py, pz).",Configuraciones Electrónicas
152,El modelo de Bohr utiliza las soluciones de la ecuación de Schrödinger para describir los niveles de energía.,Falso,Bohr propuso sus niveles energéticos sin usar la ecuación de Schrödinger. La ecuación surgió más tarde.,Modelos Atómicos
153,"La Electronegatividad aumenta a lo largo del periodo, debido a que el radio atómico disminuye.",Verdadero,La contracción del radio facilita la atracción del núcleo sobre los electrones.,Propiedades Periódicas
154,El ion Li⁺ (Z=3) y el átomo de He (Z=2) son isoelectrónicos.,Verdadero,"Li⁺ tiene 3 - 1 = 2 electrones, igual que el He.",Isótopos y Partículas
155,"En el tercer nivel de energía (n=3), el valor del número cuántico secundario (l) que representa un orbital d es l=1.",Falso,l=1 representa un orbital p. l=2 representa un orbital d.,Números Cuánticos
156,La primera capa electrónica (n=1) tiene una capacidad máxima de 8 electrones.,Falso,"La capacidad máxima es $2n^2$. Para $n=1$, es $2(1)^2 = 2$ electrones.",Configuraciones Electrónicas
157,La mayor carga nuclear efectiva (Zₑբ) se encuentra en los gases nobles de cada periodo.,Verdadero,"La Zₑբ aumenta de izquierda a derecha en un periodo, alcanzando el máximo en el gas noble.",Propiedades Periódicas
158,El concepto de que 'los átomos de un mismo elemento son idénticos en masa y propiedades' sigue siendo totalmente válido en la química moderna.,Falso,Este postulado de Dalton no es totalmente válido debido a la existencia de los isótopos (diferente masa).,Modelos Atómicos
159,"Un orbital pz es idéntico al orbital py, solo que está orientado en una dirección diferente.",Verdadero,"Son orbitales degenerados de la misma forma y energía, pero orientados en distintos ejes.",Configuraciones Electrónicas
160,El elemento con la configuración electrónica [Ar]4s²3d¹ es un metal alcalinotérreo.,Falso,"El elemento ([Ar]4s²3d¹ = Escandio, Sc) es un metal de transición, no un alcalinotérreo (Grupo 2).",Propiedades Periódicas
161,El modelo de Rutherford fue el primero en postular que la materia era eléctricamente neutra.,Falso,El modelo de Thomson (pudin de pasas) ya contemplaba la neutralidad.,Modelos Atómicos
162,El principal logro del modelo de Bohr fue explicar la estabilidad de cualquier átomo polielectrónico.,Falso,El modelo de Bohr solo fue exitoso para el átomo de hidrógeno y los iones hidrogenoides.,Modelos Atómicos
163,La teoría de Planck y la posterior explicación del efecto fotoeléctrico por Einstein establecieron que la energía está cuantizada.,Verdadero,Este principio de cuantificación es un pilar de la física cuántica.,Modelos Atómicos
164,El número de electrones es el único responsable de la masa de un átomo.,Falso,La masa es aportada fundamentalmente por los protones y neutrones (nucleones).,Isótopos y Partículas
165,La densidad de probabilidad de encontrar un electrón dentro de un orbital es constante en toda la región.,Falso,La densidad varía; la probabilidad es máxima cerca del núcleo (excepto en el punto nodal).,Configuraciones Electrónicas
166,"En el modelo de Bohr, la energía del electrón se mantiene constante mientras este permanezca en su órbita permitida.",Verdadero,Esto resolvió el problema de la inestabilidad de Rutherford.,Modelos Atómicos
167,El modelo de Dalton explicaba correctamente las leyes de la conservación de la masa y de las proporciones múltiples.,Verdadero,Sus postulados sobre la inmutabilidad de los átomos y las combinaciones en proporciones fijas son la base de estas leyes.,Modelos Atómicos
168,Un orbital atómico es lo mismo que la órbita de un electrón en el modelo planetario.,Falso,El orbital es una región de probabilidad (cuántico); la órbita es una trayectoria definida (clásico).,Modelos Atómicos
169,La carga de un átomo neutro es cero porque no posee protones ni electrones.,Falso,La carga es cero porque el número de protones (positivos) es igual al número de electrones (negativos).,Isótopos y Partículas
170,El número de neutrones en un átomo siempre es igual o mayor que el número de protones.,Verdadero,"Para los elementos estables (excepto el ¹H), el número de neutrones suele ser igual o mayor que el de protones.",Isótopos y Partículas
171,Un ion X³⁺ con 10 electrones tiene un número atómico Z=7.,Falso,"Si tiene 10 electrones y perdió 3 (3⁺), originalmente tenía 13 electrones. Por lo tanto, Z=13.",Isótopos y Partículas
172,La fuerza nuclear fuerte es la responsable de la repulsión electrostática entre los protones en el núcleo.,Falso,La repulsión es causada por la fuerza electrostática; la fuerza nuclear fuerte es la que une el núcleo.,Isótopos y Partículas
173,El núcleo atómico contiene tanto la carga positiva como la negativa de un átomo.,Falso,El núcleo contiene la carga positiva (protones) y las partículas neutras (neutrones). Los electrones (carga negativa) están en la corteza.,Isótopos y Partículas
174,"La masa atómica de un elemento siempre es un número más cercano a un isótopo que a cualquier otro, debido a su mayor abundancia.",Verdadero,"La masa atómica es un promedio ponderado, por lo que su valor se ""arrastra"" hacia el isótopo más abundante.",Isótopos y Partículas
175,"Si dos átomos tienen el mismo número másico (A), necesariamente son átomos del mismo elemento.",Falso,Dos átomos con el mismo A pero diferente Z son isóbaros (ej: ⁴⁰K y ⁴⁰Ca).,Isótopos y Partículas
176,El número de electrones de valencia en un átomo neutro es siempre igual al número del periodo en el que se encuentra.,Falso,El número de electrones de valencia es igual al número del grupo (para elementos representativos).,Isótopos y Partículas
177,"Un átomo de Oxígeno (O, Z=8) tiene una configuración electrónica con 2 electrones desapareados.",Verdadero,"Configuración 1s²2s²2p⁴. En 2p, hay 4 e⁻ distribuidos como ↑↓ ↑ ↑, dejando 2 electrones desapareados.",Configuraciones Electrónicas
178,Los electrones en el subnivel 3p tienen mayor energía que los electrones en el subnivel 4s.,Falso,"El 4s tiene menor energía ($n+l=4$) que el 3p ($n+l=4$), pero el 3p se llena antes. En el átomo real, el 4s tiene menor energía.",Configuraciones Electrónicas
179,"La existencia de orbitales d y f justifica el ancho de 10 y 14 elementos, respectivamente, en la Tabla Periódica.",Verdadero,Los 5 orbitales d albergan 10 e⁻; los 7 orbitales f albergan 14 e⁻.,Configuraciones Electrónicas
180,La regla de Hund es irrelevante para el llenado de los orbitales s.,Verdadero,"La regla de Hund solo se aplica a orbitales degenerados (p, d, f). Los orbitales s son únicos.",Configuraciones Electrónicas
181,Un átomo que tiene todos sus orbitales de valencia llenos se considera paramagnético.,Falso,"Si todos los orbitales están llenos, todos los electrones están apareados, por lo que es diamagnético.",Configuraciones Electrónicas
182,La notación 3d¹⁰ implica la existencia de 10 orbitales de tipo d en la tercera capa.,Falso,"Solo existen 5 orbitales de tipo d en la tercera capa, cada uno albergando 2 electrones.",Configuraciones Electrónicas
183,Un ion de Sodio (Na⁺) tiene una configuración electrónica estable de 8 electrones de valencia.,Verdadero,"Su configuración es 1s²2s²2p⁶, que tiene 8 electrones de valencia (como el Ne) y es estable.",Configuraciones Electrónicas
184,Un electrón con n=3 y l=2 debe tener una mayor energía que un electrón con n=4 y l=0.,Falso,"Ambos tienen $n+l=5$ y $n+l=4$, respectivamente. La regla $n+l$ indica que el 4s (4) tiene menor energía que el 3d (5).",Configuraciones Electrónicas
185,El número cuántico principal (n) está directamente relacionado con la frecuencia de la luz emitida en el espectro de H.,Verdadero,"Las transiciones dependen de la diferencia de energía entre niveles, definidos por n.",Números Cuánticos
186,"Para el orbital f (l=3), los valores posibles de ml van desde 0 hasta +3.",Falso,"Los valores van desde -3 hasta +3, incluyendo el 0, para un total de 7 valores.",Números Cuánticos
187,El valor del número cuántico ml puede ser mayor que el valor de l.,Falso,El rango de ml está limitado por l: $|ml| \le l$.,Números Cuánticos
188,"Un conjunto de números cuánticos (4, 0, 1, -1/2) es un conjunto válido.",Falso,"Si l=0 (orbital s), el único valor posible para ml es 0. ml=1 no es permitido.",Números Cuánticos
189,Los números cuánticos n y l determinan la energía de un orbital en cualquier átomo.,Verdadero,"En átomos polielectrónicos, la energía depende tanto del nivel (n) como del subnivel (l).",Números Cuánticos
190,La restricción $l \le n-1$ implica que no existen orbitales p en el nivel n=1.,Verdadero,"Para n=1, el valor máximo de l es 0, por lo que solo existe el orbital 1s.",Números Cuánticos
191,"Si dos electrones están en el mismo orbital (n, l, ml idénticos), sus números cuánticos de espín (ms) deben ser idénticos.",Falso,Sus números de espín (ms) deben ser diferentes (±1/2) debido al Principio de Pauli.,Números Cuánticos
192,El número cuántico principal (n) es el factor dominante en la determinación de la energía del electrón.,Verdadero,"n define el nivel principal, y es el factor más significativo en la energía.",Números Cuánticos
193,El Radio Atómico del Flúor (F) es mayor que el del Boro (B).,Falso,El radio atómico disminuye de izquierda a derecha en un periodo. El B (izquierda) es mayor.,Propiedades Periódicas
194,La Afinidad Electrónica es la propiedad que se mide con la formación de cationes.,Falso,La AE se mide con la formación de aniones (ganancia de electrones).,Propiedades Periódicas
195,Los elementos del Grupo 18 (Gases Nobles) tienen la configuración electrónica más estable.,Verdadero,"Su capa de valencia está completa (s²p⁶), lo que explica su inercia química.",Propiedades Periódicas
196,Un no metal se caracteriza por una baja energía de ionización y baja electronegatividad.,Falso,Los no metales se caracterizan por una alta energía de ionización y alta electronegatividad.,Propiedades Periódicas
197,"El Radio Iónico de un anión es siempre mayor que el radio del átomo neutro, mientras que el de un catión es siempre menor.",Verdadero,Esto se debe a los cambios en la repulsión electrónica y en la carga nuclear efectiva (Zₑբ).,Propiedades Periódicas
198,La electronegatividad de un átomo aumenta al descender en un grupo de la tabla.,Falso,"La electronegatividad disminuye al descender, ya que el electrón de valencia está más lejos del núcleo.",Propiedades Periódicas
199,Los elementos del tercer periodo de la tabla periódica tienen todos sus electrones de valencia en la capa n=3.,Verdadero,"El periodo indica el nivel de energía de valencia, que en este caso es n=3.",Propiedades Periódicas
200,Los elementos del bloque s (Grupos 1 y 2) tienen un carácter metálico muy fuerte.,Verdadero,Son los metales más electropositivos y reactivos de la tabla.,Propiedades Periódicas
